rodada_id,nome_clube_casa,nome_clube_visitante,placar_oficial_mandante,placar_oficial_visitante,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
7,Fluminense,Juventude,1,1,49.34,39.38,-4.95,157.4,63.1,45.92,38.510000000000005,-1.4400000000000002,113.3,72.8,empate
7,Crici�ma,Palmeiras,1,2,49.54,30.22,-5.08,92.9,56.3,55.45,66.13,0.7399999999999995,145.4,165.3,vitoria_visitante
7,Atl�tico-MG,Bahia,1,1,53.06,30.87,-7.01,180.7,89.9,56.82,33.6,-7.68,170.5,126.3,empate
7,Vasco,Flamengo,1,6,35.99,27.71,-6.59,127.4,74.3,77.24000000000001,123.95,11.29,254.4,98.8,vitoria_visitante
7,S�o Paulo,Cruzeiro,2,0,78.31,98.64,10.95,154.8,145.9,47.33,24.11,-8.13,136.1,81.0,vitoria_mandante
7,Fortaleza,Athl�tico-PR,1,0,66.2,81.31,7.18,139.3,119.2,58.54,18.98,-10.02,150.2,149.29999999999998,vitoria_mandante
7,Corinthians,Botafogo,0,1,56.63,43.75,-1.38,153.1,140.5,63.67,76.6,3.91,193.5,139.4,vitoria_visitante
8,Juventude,Vitória,1,1,50.17,36.0,-1.7499999999999998,136.2,85.2,32.46,44.62,2.1899999999999995,114.6,47.2,empate
8,Atlético-GO,Corinthians,2,2,36.27,38.96,-5.88,128.2,62.9,51.61,44.95,-2.0,168.9,120.8,empate
8,Botafogo,Fluminense,1,0,52.92,88.82,5.38,159.1,140.9,49.03,28.15,-5.1,181.9,63.0,vitoria_mandante
8,Bragantino,Atlético-MG,1,2,52.51,35.24,-9.04,168.3,111.3,46.16,49.55,0.0899999999999997,145.7,106.1,vitoria_visitante
8,Cruzeiro,Cuiabá,2,1,50.36,70.38,7.97,176.10000000000002,89.4,20.75,35.45,2.54,52.9,26.9,vitoria_mandante
8,Flamengo,Grêmio,2,1,60.41,71.80000000000001,-2.7600000000000007,220.7,99.4,37.16,31.31,-1.07,82.8,33.5,vitoria_mandante
8,Internacional,São Paulo,0,0,54.45,51.93,2.48,98.5,103.1,72.22,52.36,-3.75,217.8,133.5,empate
8,Athlético-PR,Criciúma,3,1,63.09,84.45,8.76,209.6,158.0,46.99,34.25,-1.2800000000000002,118.2,57.9,vitoria_mandante
8,Bahia,Fortaleza,1,0,61.3,70.18,7.02,169.5,141.2,48.85,29.130000000000003,-5.73,149.6,108.1,vitoria_mandante
8,Palmeiras,Vasco,2,0,60.57,92.42,7.0,152.0,199.9,39.65,26.07,-4.67,157.2,101.3,vitoria_mandante
